location_id;region_id;type_id;is_buy_order;has_gone;scanDate;amount;high;low;avg;orderNum;iskValue
60000880;10000033;11578;0;0;2025-07-29;1;7200000.00;7200000.00;7200000.00;1;7200000
60000880;10000033;16273;0;0;2025-07-29;200;244.00;244.00;244.00;1;48800
60000880;10000033;16275;0;0;2025-07-29;10000;6985.00;6985.00;6985.00;1;69850000
60000880;10000033;33475;0;0;2025-07-29;2;12990000.00;12990000.00;8660000.00;2;25980000
60000886;10000033;32876;0;0;2025-07-29;1;1550000.00;1550000.00;1550000.00;1;1550000
60000892;10000016;47908;1;0;2025-07-29;1;22020.00;22020.00;22020.00;1;22020
60000895;10000016;17471;1;0;2025-07-29;54;10.13;10.13;10.13;1;547
60000901;10000016;17938;0;0;2025-07-29;8;211200.00;211200.00;211200.00;1;1689600
60000922;10000002;39;0;0;2025-07-29;1;2735.00;2735.00;2735.00;1;2735
60000946;10000016;434;0;0;2025-07-29;1;81000.00;81000.00;81000.00;1;81000
60000946;10000016;2291;0;0;2025-07-29;1;273000.00;273000.00;273000.00;1;273000
60000946;10000016;9944;0;0;2025-07-29;1;90000.00;90000.00;90000.00;1;90000
60000949;10000016;31370;0;0;2025-07-29;1;118000.00;118000.00;118000.00;1;118000
60000955;10000016;62522;1;0;2025-07-29;295223;28.50;28.50;28.50;1;8413856
60000964;10000002;11577;0;0;2025-07-29;1;5000000.00;5000000.00;5000000.00;1;5000000
60000964;10000002;27143;0;0;2025-07-29;1;1500000.00;1500000.00;1500000.00;1;1500000
60000964;10000002;30488;0;0;2025-07-29;8;800000.00;800000.00;800000.00;1;6400000
60000964;10000002;32006;0;0;2025-07-29;10;200000.00;200000.00;200000.00;1;2000000
60000967;10000002;1231;0;0;2025-07-29;86298;4947.00;4946.00;4727.50;20;426884206
60000967;10000002;1231;1;0;2025-07-29;3332;3003.00;3003.00;2002.00;2;10005996
60000982;10000016;3828;1;0;2025-07-29;21;4035.00;4035.00;4035.00;1;84735
60000985;10000016;672;0;0;2025-07-29;1;20000.00;20000.00;20000.00;1;20000
60001024;10000043;20;0;0;2025-07-29;16000;990.00;990.00;660.00;2;15840000
60001030;10000042;34;0;0;2025-07-29;50000001;2.71;2.71;1.36;2;135500003
60001030;10000042;35;1;0;2025-07-29;278;11.00;11.00;11.00;1;3058
60001030;10000042;36;0;0;2025-07-29;1701013;71.99;71.99;71.95;4;122455926
60001030;10000042;585;0;0;2025-07-29;1;450000.00;450000.00;450000.00;1;450000
60001030;10000042;621;0;0;2025-07-29;1;13000000.00;13000000.00;13000000.00;1;13000000
60001030;10000042;10842;1;0;2025-07-29;1;907500.00;907500.00;907500.00;1;907500
60001030;10000042;17888;0;0;2025-07-29;3000;4700.00;4700.00;4700.00;1;14100000
60001030;10000042;33475;0;0;2025-07-29;1;12500000.00;12500000.00;12500000.00;1;12500000
60001030;10000042;58919;0;0;2025-07-29;1;1000000.00;1000000.00;1000000.00;1;1000000
60001039;10000042;626;0;0;2025-07-29;1;15500000.00;15500000.00;15500000.00;1;15500000
60001039;10000042;672;0;0;2025-07-29;5;69000.00;69000.00;69000.00;1;345000
60001039;10000042;10998;1;0;2025-07-29;1;2500.00;2500.00;2500.00;1;2500
